id,label,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145
T17,1,1,1,1,0.56,1,1,0.51,1,1,1,0.55,0.54,1,0.23,1,0.17,1,1,1,0.36,1,1,1,0.26,1,0.58,1,0.87,1,1,1,1,1,0.57,1,0.43,0.43,0.53,1,1,1,1,0.42,0.38,1,0.18,0.41,1,0.33,1,0.52,1,0.34,1,1,1,1,1,1,1,1,1,1,1,0.45,1,1,1,0.35,0.39,1,1,1,1,0.32,1,1,1,1,1,1,1,0.46,1,0.46,1,1,0.43,1,1,0.69,1,1,1,0.35,1,1,1,1,1,1,1,1,0.44,0.45,0.68,0.9,0.37,0.3,0.15,0.67,1,0.23,0.36,0.34,0.46,0.32,0.21,0.42,0.16,0,0.15,0.19,0.14,0.16,0.11,0.2,0.51,0.37,1,0.2,0.22,0.16,0.11,0.39,0.25,0.19,0.52,0.24,0.33,0.21,0.22,0.2,0.4,0.37
T18,1,1,1,1,0.49,1,1,0.43,1,1,1,0.58,0.41,1,0.35,1,0.25,1,1,1,0.54,1,1,1,0.29,1,0.58,1,0.51,1,1,1,1,1,0.29,1,0.23,0.23,0.53,1,1,1,1,0.78,0.26,1,0.17,0.65,1,0.56,1,0.58,1,0.27,1,1,1,1,1,1,1,1,1,1,1,0.37,1,1,1,0.53,0.49,1,1,1,1,0.37,1,1,1,1,1,1,1,0.54,1,0.59,1,1,0.54,1,1,0.58,1,1,1,0.49,1,1,1,1,1,1,1,1,0.47,0.37,0.49,0.49,0.32,0.31,0.15,0.55,1,0.27,0.35,0.23,0.36,0.21,0.18,0.42,0.14,0.22,0,0.22,0.15,0.17,0.12,0.28,0.47,0.38,1,0.23,0.2,0.13,0.12,0.26,0.23,0.16,0.52,0.25,0.32,0.16,0.19,0.19,0.34,0.28
T19,1,1,1,1,0.36,1,1,0.31,1,1,1,0.46,0.51,1,0.29,1,0.18,1,1,1,0.66,1,1,1,0.21,1,0.34,1,0.82,1,1,1,1,1,0.23,1,0.23,0.23,0.44,1,1,1,1,0.44,0.32,1,0.15,0.45,1,0.34,1,0.52,1,0.24,1,1,1,1,1,1,1,1,1,1,1,0.38,1,1,1,0.29,0.5,1,1,1,1,0.35,1,1,1,1,1,1,1,0.55,1,0.64,1,1,0.41,1,1,0.41,1,1,1,0.42,1,1,1,1,1,1,1,1,0.48,0.39,0.44,0.54,0.63,0.34,0.27,0.55,1,0.34,0.44,0.29,0.35,0.26,0.29,0.32,0.16,0.21,0.16,0,0.13,0.12,0.16,0.21,0.47,0.31,1,0.24,0.26,0.11,0.18,0.32,0.27,0.17,0.43,0.28,0.26,0.18,0.2,0.16,0.44,0.34
T20,1,1,1,1,0.34,1,1,0.33,1,1,1,0.61,0.46,1,0.37,1,0.28,1,1,1,0.45,1,1,1,0.35,1,0.83,1,0.91,1,1,1,1,1,0.31,1,0.29,0.29,0.47,1,1,1,1,0.5,0.43,1,0.18,0.8,1,0.45,1,0.78,1,0.24,1,1,1,1,1,1,1,1,1,1,1,0.51,1,1,1,0.26,0.53,1,1,1,1,0.51,1,1,1,1,1,1,1,0.55,1,0.6,1,1,0.48,1,1,0.77,1,1,1,0.55,1,1,1,1,1,1,1,1,0.67,0.65,0.67,0.61,0.48,0.29,0.24,0.62,1,0.51,0.65,0.39,0.52,0.37,0.28,0.53,0.18,0.21,0.15,0.17,0,0.15,0.17,0.32,0.6,0.5,1,0.39,0.29,0.27,0.19,0.35,0.34,0.23,0.47,0.32,0.26,0.2,0.23,0.22,0.58,0.55
T21,1,1,1,1,0.43,1,1,0.31,1,1,1,0.61,0.57,1,0.36,1,0.19,1,1,1,0.8,1,1,1,0.33,1,0.74,1,0.95,1,1,1,1,1,0.3,1,0.3,0.3,0.48,1,1,1,1,0.32,0.46,1,0.17,0.46,1,0.35,1,0.56,1,0.23,1,1,1,1,1,1,1,1,1,1,1,0.37,1,1,1,0.44,0.54,1,1,1,1,0.29,1,1,1,1,1,1,1,1,1,0.66,1,1,0.29,1,1,0.57,1,1,1,0.47,1,1,1,1,1,1,1,1,0.55,0.7,0.57,0.63,0.72,0.3,0.21,0.66,1,0.32,0.49,0.4,0.49,0.34,0.23,0.4,0.21,0.25,0.18,0.18,0.17,0,0.13,0.19,0.44,0.45,1,0.25,0.28,0.13,0.24,0.28,0.3,0.23,0.73,0.29,0.33,0.2,0.24,0.21,0.44,0.5
T22,1,1,1,1,0.49,1,1,0.43,1,1,1,0.51,0.76,1,0.27,1,0.29,1,1,1,0.73,1,1,1,0.28,1,0.49,1,0.48,1,1,1,1,1,0.45,1,0.34,0.34,0.38,1,1,1,1,1,0.35,1,0.18,0.61,1,0.43,1,0.52,1,0.38,1,1,1,1,1,1,1,1,1,1,1,0.3,1,1,1,0.35,0.49,1,1,1,1,0.33,1,1,1,1,1,1,1,0.5,1,0.39,1,1,0.61,1,1,0.49,1,1,1,0.36,1,1,1,1,1,1,1,1,0.48,0.39,0.6,0.76,0.4,0.33,0.2,0.59,1,0.29,0.29,0.31,0.38,0.3,0.19,0.51,0.17,0.2,0.15,0.28,0.22,0.16,0,0.13,0.37,0.44,1,0.29,0.23,0.19,0.16,0.34,0.28,0.25,0.52,0.2,0.28,0.3,0.23,0.23,0.29,0.46
T23,1,1,1,1,0.36,1,1,0.41,1,1,1,0.81,0.67,1,0.35,1,0.34,1,1,1,1,1,1,1,0.43,1,0.46,1,0.49,1,1,1,1,1,0.49,1,0.42,0.42,0.65,1,1,1,1,0.47,0.34,1,0.16,0.98,1,0.45,1,0.31,1,0.37,1,1,1,1,1,1,1,1,1,1,1,0.4,1,1,1,0.39,0.5,1,1,1,1,0.32,1,1,1,1,1,1,1,0.71,1,0.53,1,1,0.6,1,1,0.5,1,1,1,0.43,1,1,1,1,1,1,1,1,0.36,0.58,0.52,0.45,0.28,0.3,0.35,0.43,1,0.42,0.49,0.31,0.27,0.37,0.32,0.58,0.26,0.33,0.31,0.31,0.36,0.2,0.12,0,0.29,0.36,1,0.25,0.45,0.19,0.2,0.35,0.3,0.26,0.42,0.29,0.25,0.3,0.31,0.31,0.4,0.51
T24,1,1,1,1,0.14,1,1,0.4,1,1,1,0.44,0.57,1,0.53,1,0.26,1,1,1,0.29,1,1,1,0.38,1,0.46,1,0.34,1,1,1,1,1,0.63,1,0.43,0.43,0.95,1,1,1,1,0.27,0.38,1,0.21,0.63,1,0.37,1,0.45,1,0.39,1,1,1,1,1,1,1,1,1,1,1,0.48,1,1,1,0.23,0.93,1,1,1,1,0.52,1,1,1,1,1,1,1,0.39,1,0.74,1,1,0.55,1,1,0.5,1,1,1,0.6,1,1,1,1,1,1,1,1,0.34,0.2,0.4,0.31,0.17,0.2,0.27,0.35,1,0.27,0.4,0.34,0.36,0.25,0.25,0.61,0.25,0.44,0.27,0.37,0.36,0.24,0.17,0.15,0,0.31,1,0.25,0.22,0.21,0.21,0.2,0.24,0.23,0.52,0.27,0.25,0.34,0.28,0.33,0.28,0.35
T25,1,1,1,1,0.2,1,1,0.37,1,1,1,0.66,0.44,1,0.37,1,0.21,1,1,1,0.19,1,1,1,0.29,1,0.34,1,0.66,1,1,1,1,1,0.48,1,0.23,0.23,0.45,1,1,1,1,0.39,0.35,1,0.17,0.38,1,0.47,1,0.58,1,0.31,1,1,1,1,1,1,1,1,1,1,1,0.27,1,1,1,0.18,0.41,1,1,1,1,0.33,1,1,1,1,1,1,1,0.29,1,0.39,1,1,0.37,1,1,0.33,1,1,1,0.4,1,1,1,1,1,1,1,1,0.38,0.32,0.35,0.23,0.19,0.35,0.2,0.39,1,0.29,0.67,0.31,0.52,0.33,0.23,0.26,0.18,0.3,0.21,0.23,0.28,0.24,0.19,0.18,0.3,0,1,0.21,0.27,0.22,0.14,0.23,0.2,0.17,0.43,0.34,0.31,0.36,0.28,0.29,0.25,0.44
T26,1,1,1,1,0.39,1,1,0.31,1,1,1,0.37,0.33,1,0.38,1,0.16,1,1,1,0.23,1,1,1,0.31,1,0.41,1,0.43,1,1,1,1,1,0.47,1,0.36,0.35,0.45,1,1,1,1,0.38,0.31,1,0.17,0.28,1,0.56,1,0.34,1,0.44,1,1,1,1,1,1,1,1,1,1,1,0.3,1,1,1,0.31,0.66,1,1,1,1,0.37,1,1,1,1,1,1,1,0.45,1,0.5,1,1,0.77,1,1,0.37,1,1,1,0.39,1,1,1,1,1,1,1,1,0.2,0.48,0.32,0.55,0.3,0.26,0.18,0.43,1,0.22,0.29,0.28,0.27,0.19,0.28,0.36,0.16,0.21,0.16,0.24,0.28,0.17,0.16,0.16,0.31,0.27,1,0,0.16,0.12,0.09,0.17,0.17,0.17,0.32,0.22,0.32,0.24,0.21,0.24,0.21,0.26
T27,1,1,1,1,0.47,1,1,0.39,1,1,1,0.57,0.46,1,0.29,1,0.21,1,1,1,0.38,1,1,1,0.28,1,0.48,1,0.55,1,1,1,1,1,0.39,1,0.42,0.43,0.65,1,1,1,1,0.36,0.38,1,0.27,0.46,1,0.44,1,0.63,1,0.57,1,1,1,1,1,1,1,1,1,1,1,0.2,1,1,1,0.25,0.54,1,1,1,1,0.49,1,1,1,1,1,1,1,0.29,1,0.65,1,1,0.39,1,1,0.62,1,1,1,0.36,1,1,1,1,1,1,1,1,0.28,0.5,0.4,0.69,0.27,0.29,0.12,0.42,1,0.39,0.36,0.34,0.35,0.27,0.23,0.36,0.21,0.25,0.15,0.26,0.22,0.2,0.14,0.3,0.28,0.37,1,0.17,0,0.18,0.08,0.2,0.27,0.11,0.4,0.24,0.37,0.26,0.24,0.3,0.34,0.33
T28,1,1,1,1,0.37,1,1,0.34,1,1,1,0.39,0.35,1,0.3,1,0.14,1,1,1,0.38,1,1,1,0.2,1,0.37,1,0.53,1,1,1,1,1,0.25,1,0.32,0.32,0.4,1,1,1,1,0.4,0.32,1,0.12,0.36,1,0.31,1,0.59,1,0.29,1,1,1,1,1,1,1,1,1,1,1,0.33,1,1,1,0.39,0.38,1,1,1,1,0.28,1,1,1,1,1,1,1,0.55,1,0.63,1,1,0.37,1,1,0.44,1,1,1,0.32,1,1,1,1,1,1,1,1,0.43,0.61,0.38,0.57,0.47,0.31,0.15,0.57,1,0.23,0.35,0.29,0.28,0.12,0.26,0.41,0.13,0.21,0.12,0.14,0.25,0.12,0.14,0.16,0.34,0.37,1,0.16,0.23,0,0.13,0.18,0.22,0.12,0.4,0.25,0.27,0.19,0.16,0.16,0.3,0.29
T29,1,1,1,1,0.44,1,1,0.9,1,1,1,0.84,0.56,1,0.45,1,1,1,1,1,0.34,1,1,1,0.53,1,0.8,1,0.61,1,1,1,1,1,0.64,1,0.62,0.63,0.85,1,1,1,1,0.5,0.68,1,0.36,0.41,1,0.96,1,0.46,1,0.86,1,1,1,1,1,1,1,1,1,1,1,0.37,1,1,1,0.21,0.91,1,1,1,1,0.59,1,1,1,1,1,1,1,0.49,1,0.97,1,1,0.67,1,1,0.92,1,1,1,0.48,1,1,1,1,1,1,1,1,0.5,0.34,0.47,0.52,0.33,0.4,0.13,0.74,1,0.4,0.42,0.59,0.32,0.23,0.33,0.56,0.38,0.25,0.19,0.38,0.31,0.36,0.2,0.28,0.57,0.41,1,0.2,0.18,0.22,0,0.32,0.27,0.22,0.72,0.32,0.52,0.52,0.39,0.52,0.23,0.62
T30,1,1,1,1,0.33,1,1,0.37,1,1,1,0.58,0.37,1,0.37,1,0.22,1,1,1,0.4,1,1,1,0.4,1,0.52,1,0.43,1,1,1,1,1,0.4,1,0.36,0.36,0.34,1,1,1,1,0.26,0.42,1,0.28,0.39,1,0.55,1,0.42,1,0.48,1,1,1,1,1,1,1,1,1,1,1,0.36,1,1,1,0.41,0.51,1,1,1,1,0.54,1,1,1,1,1,1,1,0.31,1,1,1,1,0.77,1,1,0.35,1,1,1,0.38,1,1,1,1,1,1,1,1,0.35,0.19,0.47,0.35,0.39,0.41,0.2,0.46,1,0.27,0.32,0.37,0.38,0.22,0.33,0.45,0.21,0.45,0.2,0.34,0.28,0.21,0.21,0.25,0.27,0.32,1,0.19,0.21,0.16,0.16,0,0.25,0.17,0.49,0.26,0.35,0.31,0.18,0.29,0.34,0.32
T31,1,1,1,1,0.42,1,1,0.39,1,1,1,0.48,0.4,1,0.3,1,0.44,1,1,1,0.64,1,1,1,0.27,1,0.64,1,0.75,1,1,1,1,1,0.5,1,0.4,0.4,0.46,1,1,1,1,0.52,0.29,1,0.15,0.42,1,0.55,1,0.41,1,0.34,1,1,1,1,1,1,1,1,1,1,1,0.31,1,1,1,0.34,0.69,1,1,1,1,0.36,1,1,1,1,1,1,1,0.35,1,0.74,1,1,0.59,1,1,0.42,1,1,1,0.37,1,1,1,1,1,1,1,1,0.27,0.18,0.39,0.49,0.37,0.22,0.17,0.48,1,0.22,0.35,0.25,0.29,0.23,0.26,0.43,0.22,0.27,0.17,0.26,0.24,0.21,0.16,0.19,0.3,0.26,1,0.17,0.25,0.17,0.12,0.23,0,0.15,0.43,0.29,0.23,0.25,0.19,0.23,0.28,0.31
T32,1,1,1,1,0.44,1,1,0.46,1,1,1,0.52,0.65,1,0.48,1,0.3,1,1,1,0.44,1,1,1,0.34,1,0.56,1,0.66,1,1,1,1,1,0.52,1,0.38,0.38,0.74,1,1,1,1,0.45,0.27,1,0.25,0.48,1,0.47,1,1,1,0.44,1,1,1,1,1,1,1,1,1,1,1,0.33,1,1,1,0.37,0.72,1,1,1,1,0.54,1,1,1,1,1,1,1,0.49,1,0.62,1,1,0.51,1,1,0.43,1,1,1,0.44,1,1,1,1,1,1,1,1,0.26,0.59,0.35,0.61,0.43,0.21,0.13,0.6,1,0.32,0.4,0.24,0.3,0.28,0.31,0.43,0.28,0.27,0.16,0.23,0.23,0.21,0.19,0.22,0.39,0.3,1,0.23,0.15,0.13,0.13,0.21,0.2,0,0.51,0.26,0.29,0.22,0.21,0.25,0.3,0.38
T33,1,1,1,1,0.29,1,1,0.51,1,1,1,0.47,0.43,1,0.32,1,0.23,1,1,1,0.18,1,1,1,0.35,1,0.49,1,0.34,1,1,1,1,1,0.35,1,0.32,0.32,0.35,1,1,1,1,0.37,0.3,1,0.18,0.54,1,0.54,1,0.47,1,0.37,1,1,1,1,1,1,1,1,1,1,1,0.57,1,1,1,0.22,0.29,1,1,1,1,0.18,1,1,1,1,1,1,1,0.3,1,0.28,1,1,0.24,1,1,0.37,1,1,1,0.26,1,1,1,1,1,1,1,1,0.46,0.27,0.48,0.53,0.38,0.25,0.16,0.64,1,0.28,0.33,0.29,0.22,0.32,0.3,0.43,0.18,0.36,0.24,0.27,0.22,0.32,0.19,0.18,0.42,0.36,1,0.21,0.25,0.2,0.21,0.29,0.28,0.25,0,0.2,0.22,0.24,0.18,0.25,0.4,0.12
T34,1,1,1,1,0.39,1,1,0.45,1,1,1,0.53,0.47,1,0.35,1,0.22,1,1,1,0.31,1,1,1,0.33,1,0.45,1,0.44,1,1,1,1,1,0.41,1,0.4,0.4,0.48,1,1,1,1,0.51,0.34,1,0.18,0.54,1,0.51,1,0.41,1,0.32,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0.21,0.47,1,1,1,1,0.29,1,1,1,1,1,1,1,0.32,1,0.58,1,1,0.34,1,1,0.38,1,1,1,0.35,1,1,1,1,1,1,1,1,0.37,0.23,0.41,0.56,0.29,0.23,0.2,0.36,1,0.29,0.29,0.31,0.26,0.25,0.25,0.34,0.18,0.23,0.16,0.25,0.21,0.18,0.1,0.17,0.31,0.4,1,0.2,0.21,0.18,0.13,0.22,0.27,0.18,0.28,0,0.24,0.21,0.13,0.17,0.26,0.26
T35,1,1,1,1,0.42,1,1,0.33,1,1,1,0.43,0.4,1,0.27,1,0.23,1,1,1,0.68,1,1,1,0.28,1,0.49,1,0.58,1,1,1,1,1,0.39,1,0.33,0.32,0.47,1,1,1,1,0.31,0.3,1,0.17,0.76,1,0.47,1,0.31,1,0.31,1,1,1,1,1,1,1,1,1,1,1,0.4,1,1,1,0.25,0.35,1,1,1,1,0.29,1,1,1,1,1,1,1,0.33,1,0.2,1,1,0.37,1,1,0.47,1,1,1,0.42,1,1,1,1,1,1,1,1,0.53,0.18,0.43,0.59,0.39,0.16,0.23,0.48,1,0.33,0.51,0.27,0.36,0.31,0.33,0.34,0.22,0.37,0.24,0.27,0.2,0.24,0.17,0.17,0.33,0.42,1,0.34,0.37,0.22,0.25,0.34,0.25,0.23,0.36,0.28,0,0.21,0.27,0.18,0.37,0.36
T36,1,1,1,1,0.48,1,1,0.31,1,1,1,0.47,0.37,1,0.28,1,0.19,1,1,1,0.62,1,1,1,0.21,1,0.38,1,0.66,1,1,1,1,1,0.34,1,0.21,0.21,0.52,1,1,1,1,0.42,0.23,1,0.14,0.52,1,0.47,1,0.6,1,0.19,1,1,1,1,1,1,1,1,1,1,1,0.38,1,1,1,0.29,0.47,1,1,1,1,0.26,1,1,1,1,1,1,1,0.36,1,0.6,1,1,0.45,1,1,0.43,1,1,1,0.38,1,1,1,1,1,1,1,1,0.59,0.4,0.36,0.57,0.42,0.18,0.16,0.52,1,0.3,0.38,0.2,0.28,0.36,0.21,0.37,0.17,0.21,0.11,0.17,0.14,0.13,0.16,0.19,0.4,0.45,1,0.23,0.23,0.14,0.22,0.27,0.24,0.16,0.35,0.23,0.19,0,0.14,0.08,0.34,0.27
T37,1,1,1,1,0.54,1,1,0.3,1,1,1,0.4,0.4,1,0.34,1,0.23,1,1,1,0.72,1,1,1,0.29,1,0.52,1,0.61,1,1,1,1,1,0.37,1,0.28,0.28,0.44,1,1,1,1,0.38,0.3,1,0.13,0.71,1,0.51,1,0.46,1,0.23,1,1,1,1,1,1,1,1,1,1,1,0.45,1,1,1,0.37,0.49,1,1,1,1,0.29,1,1,1,1,1,1,1,0.36,1,0.47,1,1,0.42,1,1,0.37,1,1,1,0.37,1,1,1,1,1,1,1,1,0.43,0.36,0.52,0.48,0.34,0.25,0.21,0.48,1,0.37,0.47,0.26,0.41,0.29,0.19,0.43,0.16,0.25,0.15,0.21,0.18,0.18,0.15,0.22,0.38,0.41,1,0.23,0.26,0.14,0.19,0.19,0.21,0.17,0.31,0.16,0.28,0.16,0,0.13,0.34,0.27
T38,1,1,1,1,0.6,1,1,0.38,1,1,1,0.39,0.42,1,0.38,1,0.18,1,1,1,0.62,1,1,1,0.19,1,0.47,1,0.66,1,1,1,1,1,0.35,1,0.25,0.25,0.43,1,1,1,1,0.39,0.25,1,0.13,0.46,1,0.33,1,0.48,1,0.22,1,1,1,1,1,1,1,1,1,1,1,0.35,1,1,1,0.26,0.45,1,1,1,1,0.23,1,1,1,1,1,1,1,0.34,1,0.52,1,1,0.43,1,1,0.37,1,1,1,0.3,1,1,1,1,1,1,1,1,0.42,0.37,0.41,0.51,0.39,0.19,0.17,0.44,1,0.3,0.51,0.22,0.31,0.24,0.18,0.4,0.13,0.2,0.13,0.15,0.16,0.14,0.13,0.19,0.4,0.37,1,0.23,0.27,0.12,0.23,0.26,0.22,0.18,0.37,0.18,0.16,0.08,0.12,0,0.3,0.3
T39,1,1,1,1,0.3,1,1,0.43,1,1,1,0.55,0.67,1,0.47,1,0.32,1,1,1,0.47,1,1,1,0.37,1,0.47,1,0.69,1,1,1,1,1,0.41,1,0.43,0.43,0.66,1,1,1,1,0.46,0.41,1,0.28,0.32,1,0.37,1,0.67,1,0.49,1,1,1,1,1,1,1,1,1,1,1,0.41,1,1,1,0.18,0.4,1,1,1,1,0.64,1,1,1,1,1,1,1,0.71,1,0.35,1,1,0.77,1,1,0.38,1,1,1,0.42,1,1,1,1,1,1,1,1,0.26,0.22,0.33,0.28,0.29,0.27,0.14,0.51,1,0.26,0.37,0.35,0.51,0.29,0.32,0.48,0.23,0.37,0.22,0.39,0.38,0.27,0.15,0.23,0.31,0.28,1,0.19,0.29,0.21,0.09,0.28,0.25,0.2,0.55,0.26,0.32,0.31,0.27,0.28,0,0.37
T40,1,1,1,1,0.49,1,1,0.26,1,1,1,0.59,0.29,1,0.38,1,0.18,1,1,1,0.36,1,1,1,0.32,1,0.46,1,0.25,1,1,1,1,1,0.27,1,0.32,0.32,0.41,1,1,1,1,0.31,0.24,1,0.15,0.47,1,0.45,1,0.31,1,0.34,1,1,1,1,1,1,1,1,1,1,1,0.47,1,1,1,0.34,0.35,1,1,1,1,0.2,1,1,1,1,1,1,1,0.28,1,0.36,1,1,0.31,1,1,0.26,1,1,1,0.23,1,1,1,1,1,1,1,1,0.38,0.17,0.37,0.6,0.38,0.27,0.22,0.46,1,0.27,0.27,0.22,0.18,0.24,0.27,0.36,0.16,0.28,0.15,0.24,0.29,0.25,0.19,0.24,0.32,0.42,1,0.19,0.23,0.17,0.21,0.22,0.23,0.21,0.14,0.21,0.25,0.21,0.18,0.23,0.3,0
